TP Index,TP ID,Frekans,Symbol Rate,Pol,Ham Hex
86,0x9d,12226,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 9d 29 68 2f c2
87,0x9e,12265,16300,H,3f ac 28 4c 00 00 00 00 3f 00 00 9e 29 68 2f e9
88,0x9f,12303,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 9f 29 68 30 0f
89,0xa0,12341,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a0 29 68 30 35
90,0xa1,12380,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a1 29 68 30 5c
91,0xa2,12418,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a2 29 68 30 82
92,0xa3,12466,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a3 29 68 30 b2
93,0xa4,12480,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a4 29 68 30 c0
94,0xa5,12520,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a5 29 68 30 e8
95,0xa6,12558,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a6 29 68 31 0e
96,0xa7,12577,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a7 29 68 31 21
97,0xa8,12597,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a8 29 68 31 35
98,0xa9,12635,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 a9 29 68 31 5b
99,0xaa,12673,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 aa 29 68 31 81
100,0xab,12713,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 ab 29 68 31 a9
101,0xac,11393,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 ac 26 16 2c 81
102,0xad,12241,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 ad 29 68 2f d1
103,0xff,65535,3700,H,0e 74 28 4c 00 00 00 00 ff ff ff ff ff ff ff ff
106,0xff,65535,30000,H,75 30 04 00 00 00 00 00 ff ff ff ff ff ff ff ff
110,0xff,65535,10000,H,27 10 a4 00 00 00 00 00 ff ff ff ff ff ff ff ff
115,0xff,65535,8333,H,20 8d a4 00 00 00 00 00 ff ff ff ff ff ff ff ff
118,0xff,65535,6666,H,1a 0a a4 00 00 00 00 00 ff ff ff ff ff ff ff ff
125,0x15,11039,5833,H,16 c9 24 00 00 00 00 00 3f 00 00 15 26 16 2b 1f
126,0xff,65535,4800,H,12 c0 84 00 00 00 00 00 ff ff ff ff ff ff ff ff
131,0xff,65535,11666,H,2d 92 24 00 00 00 00 00 ff ff ff ff ff ff ff ff
149,0xff,65535,7700,H,1e 14 24 00 00 00 00 00 ff ff ff ff ff ff ff ff
166,0xff,65535,27500,H,6b 6c a4 00 00 00 00 00 ff ff ff ff ff ff ff ff
168,0x40,12471,27500,H,6b 6c 24 00 00 00 00 00 3f 00 00 40 29 68 30 b7
169,0x41,12073,9200,H,23 f0 a4 00 00 00 00 00 3f 00 00 41 29 68 2f 29
170,0xff,65535,27500,H,6b 6c 24 00 00 00 00 00 ff ff ff ff ff ff ff ff
172,0xaf,10970,27500,H,6b 6c a4 00 00 00 00 00 3f 00 00 af 26 16 2a da
173,0xff,65535,30000,H,75 30 04 00 00 00 00 00 ff ff ff ff ff ff ff ff
181,0xff,65535,2222,H,08 ae 24 00 00 2a 00 01 ff ff ff ff ff ff ff ff
183,0xff,65535,27500,H,6b 6c 24 00 04 2e 9d 6d ff ff ff ff ff ff ff ff
185,0x4,12219,27500,H,6b 6c a4 00 04 2e 9f 61 3f 00 00 04 29 68 2f bb
186,0xff,65535,6500,H,19 64 a4 00 04 2e a1 ba ff ff ff ff ff ff ff ff
188,0x7,12034,27500,H,6b 6c a4 00 00 42 00 01 3f 00 00 07 29 68 2f 02
189,0xff,65535,27500,H,6b 6c 24 00 00 42 00 03 ff ff ff ff ff ff ff ff
191,0xff,65535,27500,H,6b 6c 24 00 04 2e a3 ae ff ff ff ff ff ff ff ff
193,0xff,65535,4800,H,12 c0 a4 00 04 2e a0 2a ff ff ff ff ff ff ff ff
195,0xff,65535,9600,H,25 80 a4 00 04 2e a4 14 ff ff ff ff ff ff ff ff
197,0xff,65535,5520,H,15 90 a4 00 04 2e a4 13 ff ff ff ff ff ff ff ff
199,0xff,65535,27500,H,6b 6c a4 00 04 2e 9e 99 ff ff ff ff ff ff ff ff
201,0xff,65535,9600,H,25 80 24 00 04 2e 9e 35 ff ff ff ff ff ff ff ff
203,0x11,11061,8400,H,20 d0 24 00 04 2e a1 56 3f 00 00 11 26 16 2b 35
204,0x12,11053,4820,H,12 d4 84 00 00 00 00 00 3f 00 00 12 26 16 2b 2d
205,0x13,12219,8000,H,1f 40 84 00 04 2e 7d c9 3f 00 00 13 29 68 2f bb
206,0xff,65535,4800,H,12 c0 24 00 00 00 00 00 ff ff ff ff ff ff ff ff
208,0xff,65535,7200,H,1c 20 24 00 04 2e a1 57 ff ff ff ff ff ff ff ff
210,0x18,11045,9600,H,25 80 24 00 04 2e 76 5e 3f 00 00 18 26 16 2b 25
211,0xff,65535,4800,H,12 c0 84 00 04 2e 7d cc ff ff ff ff ff ff ff ff
213,0xff,65535,9600,H,25 80 84 00 04 2e 7d 68 ff ff ff ff ff ff ff ff
215,0x1c,11096,16666,H,41 1a 84 00 04 2e 7d 01 3f 00 00 1c 26 16 2b 58
216,0xff,65535,30000,H,75 30 84 00 00 2a 00 3d ff ff ff ff ff ff ff ff
